C_per,Si_per,Mn_per,P_per,S_per,Cu_per,Mg_per,Hardness_BHN,Nodularity_per,Pearlite_per,Ferrite_per,Nodule_Count,Sand_AFS_Fresh,Sand_AFS_Returned,Clay_Fresh,Clay_Returned,FRS,KOS,PH_Fresh_Sand,PH_Returned_Sand ,Sand_temp,RT_Hum,Hum_per,Stripping,Viscosity,Baume ,Remarks
3.885,2.815,0.412,0.052,0.035,0.125,0.036,149,76.21,71.37,28.64,155,39.48,38.67,0.34,0.32,0.32,1.64,7.55,9.3,36,31,46,25,35,55,0
3.335,2.519,0.333,0.009,0.01,0.326,0.036,207,82.69,71.37,28.64,277,39.48,38.67,0.34,0.32,0.32,1.64,7.55,9.3,36,31,46,25,35,55,0
3.335,2.519,0.333,0.009,0.01,0.326,0.036,207,82.69,71.37,28.64,277,39.48,38.67,0.34,0.32,0.32,1.64,7.55,9.3,36,31,46,25,35,55,1
3.335,2.519,0.333,0.009,0.01,0.326,0.036,207,82.69,71.37,28.64,277,39.48,38.67,0.34,0.32,0.32,1.64,7.55,9.3,36,31,46,25,35,55,1
3.335,2.519,0.333,0.009,0.01,0.326,0.036,207,82.69,71.37,28.64,277,39.48,38.67,0.34,0.32,0.32,1.64,7.55,9.3,36,31,46,25,35,55,1
3.335,2.519,0.333,0.009,0.01,0.326,0.036,207,82.69,71.37,28.64,277,39.48,38.67,0.34,0.32,0.32,1.64,7.55,9.3,36,31,46,25,35,55,1
3.712,2.198,0.308,0.004,0.032,0.004,0.024,128,81.58,13.13,86.87,279,37.2,38.42,0.36,0.32,0.34,1.56,7.25,9.4,34,35,38,24,35,55,0
3.512,2.424,0.241,0.012,0.009,0.065,0.045,168,81.58,13.13,86.87,279,37.2,38.42,0.36,0.32,0.34,1.56,7.25,9.4,34,35,38,24,35,55,1
3.512,2.424,0.241,0.012,0.009,0.065,0.045,168,81.58,13.13,86.87,279,37.2,38.42,0.36,0.32,0.34,1.56,7.25,9.4,34,35,38,24,35,55,1
3.512,2.424,0.241,0.012,0.009,0.065,0.045,168,81.58,13.13,86.87,279,37.2,38.42,0.36,0.32,0.34,1.56,7.25,9.4,34,35,38,24,35,55,1
3.512,2.424,0.241,0.012,0.009,0.065,0.045,168,81.58,13.13,86.87,279,37.2,38.42,0.36,0.32,0.34,1.56,7.25,9.4,34,35,38,24,35,55,1
3.029,2.156,0.412,0.051,0.032,0.001,0.046,125,82.21,6.47,93.52,310,40.37,37.75,0.36,0.28,0.32,1.52,7.35,9.25,39,31,48,24,38,51,0
3.382,2.56,0.288,0.015,0.008,0.076,0.046,155,82.21,6.47,93.52,310,40.37,37.75,0.36,0.28,0.32,1.52,7.35,9.25,39,31,48,24,38,51,0
3.382,2.56,0.288,0.015,0.008,0.076,0.046,155,82.21,6.47,93.52,310,40.37,37.75,0.36,0.28,0.32,1.52,7.35,9.25,39,31,48,24,38,51,1
3.382,2.56,0.288,0.015,0.008,0.076,0.046,155,82.21,6.47,93.52,310,40.37,37.75,0.36,0.28,0.32,1.52,7.35,9.25,39,31,48,24,38,51,1
3.382,2.56,0.288,0.015,0.008,0.076,0.046,155,82.21,6.47,93.52,310,40.37,37.75,0.36,0.28,0.32,1.52,7.35,9.25,39,31,48,24,38,51,1
3.382,2.56,0.288,0.015,0.008,0.076,0.046,155,82.21,6.47,93.52,310,40.37,37.75,0.36,0.28,0.32,1.52,7.35,9.25,39,31,48,24,38,51,1
3.723,2.196,0.095,0.062,0.034,0.204,0.064,128,81.14,10.5,89.5,302,40.57,38.28,0.38,0.3,0.32,1.52,7.2,9.3,37,28,32,24,36,55,0
3.12,2.14,0.14,0.002,0.004,0.14,0.058,159,76.97,68.27,31.73,259,40.37,37.75,0.36,0.28,0.32,1.56,7.2,9.15,38,29,40,24,35,54,0
3.484,2.433,0.212,0.014,0.008,0.042,0.045,160,81.14,10.5,89.5,302,40.57,38.28,0.38,0.3,0.32,1.52,7.2,9.3,37,28,32,24,36,55,1
3.479,2.568,0.309,0.015,0.008,0.341,0.051,205,82.27,68.27,31.73,259,40.37,37.75,0.36,0.28,0.32,1.56,7.2,9.15,38,29,40,24,35,54,1
3.484,2.433,0.212,0.014,0.008,0.042,0.045,160,81.14,10.5,89.5,302,40.57,38.28,0.38,0.3,0.32,1.52,7.2,9.3,37,28,32,24,36,55,1
3.479,2.568,0.309,0.015,0.008,0.341,0.051,205,82.27,68.27,31.73,259,40.37,37.75,0.36,0.28,0.32,1.56,7.2,9.15,38,29,40,24,35,54,1
3.484,2.433,0.212,0.014,0.008,0.042,0.045,160,81.14,10.5,89.5,302,40.57,38.28,0.38,0.3,0.32,1.52,7.2,9.3,37,28,32,24,36,55,1
3.479,2.568,0.309,0.015,0.008,0.341,0.051,205,82.27,68.27,31.73,259,40.37,37.75,0.36,0.28,0.32,1.56,7.2,9.15,38,29,40,24,35,54,1
3.484,2.433,0.212,0.014,0.008,0.042,0.045,160,81.14,10.5,89.5,302,40.57,38.28,0.38,0.3,0.32,1.52,7.2,9.3,37,28,32,24,36,55,1
3.479,2.568,0.309,0.015,0.008,0.341,0.051,205,82.27,68.27,31.73,259,40.37,37.75,0.36,0.28,0.32,1.56,7.2,9.15,38,29,40,24,35,54,1
3.123,2.898,0.025,0.09,0.004,0.04,0.054,242,83.86,89.93,41.07,331,40.37,37.75,0.36,0.28,0.3,1.5,7.25,9.2,31,30,40,23,38,55,0
3.98,2.82,0.42,0.003,0.004,0.12,0.056,193,79.87,58.91,41.09,297,40.37,37.75,0.36,0.28,0.32,1.56,7.2,9.15,38,29,40,23,35,54,0
3.445,2.451,0.337,0.014,0.008,0.313,0.048,193,83.46,58.91,41.09,297,40.37,37.75,0.36,0.28,0.32,1.56,7.2,9.15,38,29,40,23,35,54,1
3.445,2.451,0.337,0.014,0.008,0.313,0.048,193,83.46,58.91,41.09,297,40.37,37.75,0.36,0.28,0.32,1.56,7.2,9.15,38,29,40,23,35,54,1
3.445,2.451,0.337,0.014,0.008,0.313,0.048,193,83.46,58.91,41.09,297,40.37,37.75,0.36,0.28,0.32,1.56,7.2,9.15,38,29,40,23,35,54,1
3.445,2.451,0.337,0.014,0.008,0.313,0.048,193,83.46,58.91,41.09,297,40.37,37.75,0.36,0.28,0.32,1.56,7.2,9.15,38,29,40,23,35,54,1
3.89,2.79,0.14,0.002,0.035,0.71,0.057,243,84.5,38.87,43.86,321,40.57,38.28,0.38,0.3,0.32,1.52,7.2,9.3,37,28,32,23,36,55,0
3.371,2.533,0.304,0.011,0.008,0.297,0.045,187,84.5,56.15,43.86,321,40.57,38.28,0.38,0.3,0.32,1.52,7.2,9.3,37,28,32,23,36,55,1
3.371,2.533,0.304,0.011,0.008,0.297,0.045,187,84.5,56.15,43.86,321,40.57,38.28,0.38,0.3,0.32,1.52,7.2,9.3,37,28,32,23,36,55,1
3.371,2.533,0.304,0.011,0.008,0.297,0.045,187,84.5,56.15,43.86,321,40.57,38.28,0.38,0.3,0.32,1.52,7.2,9.3,37,28,32,23,36,55,1
3.371,2.533,0.304,0.011,0.008,0.297,0.045,187,84.5,56.15,43.86,321,40.57,38.28,0.38,0.3,0.32,1.52,7.2,9.3,37,28,32,23,36,55,1
3.417,2.426,0.318,0.012,0.008,0.315,0.045,205,80.95,68.47,31.52,224,37.2,38.42,0.36,0.32,0.34,1.56,7.25,9.4,34,35,38,23,35,55,0
3.417,2.426,0.318,0.012,0.008,0.315,0.045,205,80.95,68.47,31.52,224,37.2,38.42,0.36,0.32,0.34,1.56,7.25,9.4,34,35,38,23,35,55,0
3.417,2.426,0.318,0.012,0.008,0.315,0.045,205,80.95,68.47,31.52,224,37.2,38.42,0.36,0.32,0.34,1.56,7.25,9.4,34,35,38,23,35,55,0
3.417,2.426,0.318,0.012,0.008,0.315,0.045,205,80.95,68.47,31.52,224,37.2,38.42,0.36,0.32,0.34,1.56,7.25,9.4,34,35,38,23,35,55,0
3.143,2.87,0.421,0.004,0.043,0.76,0.059,205,80.95,68.47,31.52,224,37.2,38.42,0.36,0.32,0.34,1.56,7.25,9.4,34,35,38,23,35,55,0
3.025,2.891,0.358,0.021,0.011,0.776,0.049,207,83.82,61.99,38.01,279,40.37,37.75,0.36,0.28,0.32,1.52,7.35,9.25,39,31,48,23,38,51,0
3.393,2.663,0.36,0.013,0.008,0.313,0.049,199,83.82,61.99,38.01,279,40.37,37.75,0.36,0.28,0.32,1.52,7.35,9.25,39,31,48,23,38,51,0
3.393,2.663,0.36,0.013,0.008,0.313,0.049,199,83.82,61.99,38.01,279,40.37,37.75,0.36,0.28,0.32,1.52,7.35,9.25,39,31,48,23,38,51,1
3.393,2.663,0.36,0.013,0.008,0.313,0.049,199,83.82,61.99,38.01,279,40.37,37.75,0.36,0.28,0.32,1.52,7.35,9.25,39,31,48,23,38,51,1
3.393,2.663,0.36,0.013,0.008,0.313,0.049,199,83.82,61.99,38.01,279,40.37,37.75,0.36,0.28,0.32,1.52,7.35,9.25,39,31,48,23,38,51,1
3.393,2.663,0.36,0.013,0.008,0.313,0.049,199,83.82,61.99,38.01,279,40.37,37.75,0.36,0.28,0.32,1.52,7.35,9.25,39,31,48,23,38,51,1
3.89,2.15,0.14,0.051,0.035,0.67,0.056,158,78.98,60.99,39.01,216,37.2,38.42,0.36,0.32,0.32,1.64,7.4,9.34,37,32,33,23,35,55,0
3.447,2.561,0.365,0.012,0.01,0.316,0.042,199,85.13,60.99,39.01,216,37.2,38.42,0.36,0.32,0.32,1.64,7.4,9.34,37,32,33,23,35,55,1
3.447,2.561,0.365,0.012,0.01,0.316,0.042,199,85.13,60.99,39.01,216,37.2,38.42,0.36,0.32,0.32,1.64,7.4,9.34,37,32,33,23,35,55,1
3.447,2.561,0.365,0.012,0.01,0.316,0.042,199,85.13,60.99,39.01,216,37.2,38.42,0.36,0.32,0.32,1.64,7.4,9.34,37,32,33,23,35,55,1
3.447,2.561,0.365,0.012,0.01,0.316,0.042,199,85.13,60.99,39.01,216,37.2,38.42,0.36,0.32,0.32,1.64,7.4,9.34,37,32,33,23,35,55,1
3.76,2.82,0.65,0.004,0.04,0.45,0.07,226,79.23,78.87,21.13,292,37.2,38.42,0.36,0.32,0.32,1.64,7.4,9.34,37,32,33,22,35,55,0
3.275,2.469,0.431,0.011,0.008,0.606,0.043,226,80.89,78.87,21.13,292,37.2,38.42,0.36,0.32,0.32,1.64,7.4,9.34,37,32,33,22,35,55,1
3.275,2.469,0.431,0.011,0.008,0.606,0.043,226,80.89,78.87,21.13,292,37.2,38.42,0.36,0.32,0.32,1.64,7.4,9.34,37,32,33,22,35,55,1
3.275,2.469,0.431,0.011,0.008,0.606,0.043,226,80.89,78.87,21.13,292,37.2,38.42,0.36,0.32,0.32,1.64,7.4,9.34,37,32,33,22,35,55,1
3.275,2.469,0.431,0.011,0.008,0.606,0.043,226,80.89,78.87,21.13,292,37.2,38.42,0.36,0.32,0.32,1.64,7.4,9.34,37,32,33,22,35,55,1
3.196,2.705,0.095,0.004,0.037,0.003,0.063,182,82.7,26,82.09,294,40.57,38.28,0.38,0.3,0.32,1.52,7.2,9.3,37,28,32,22,36,55,0
3.128,2.198,0.097,0.001,0.002,0.004,0.063,182,79.87,26.87,92.61,233,40.37,37.75,0.36,0.28,0.32,1.56,7.2,9.15,38,29,40,22,35,54,0
3.474,2.356,0.24,0.013,0.008,0.05,0.047,169,82.7,17.91,82.09,294,40.57,38.28,0.38,0.3,0.32,1.52,7.2,9.3,37,28,32,22,36,55,1
3.469,2.538,0.243,0.015,0.008,0.041,0.044,159,80.55,7.39,92.61,233,40.37,37.75,0.36,0.28,0.32,1.56,7.2,9.15,38,29,40,22,35,54,1
3.474,2.356,0.24,0.013,0.008,0.05,0.047,169,82.7,17.91,82.09,294,40.57,38.28,0.38,0.3,0.32,1.52,7.2,9.3,37,28,32,22,36,55,1
3.469,2.538,0.243,0.015,0.008,0.041,0.044,159,80.55,7.39,92.61,233,40.37,37.75,0.36,0.28,0.32,1.56,7.2,9.15,38,29,40,22,35,54,1
3.474,2.356,0.24,0.013,0.008,0.05,0.047,169,82.7,17.91,82.09,294,40.57,38.28,0.38,0.3,0.32,1.52,7.2,9.3,37,28,32,22,36,55,1
3.469,2.538,0.243,0.015,0.008,0.041,0.044,159,80.55,7.39,92.61,233,40.37,37.75,0.36,0.28,0.32,1.56,7.2,9.15,38,29,40,22,35,54,1
3.474,2.356,0.24,0.013,0.008,0.05,0.047,169,82.7,17.91,82.09,294,40.57,38.28,0.38,0.3,0.32,1.52,7.2,9.3,37,28,32,22,36,55,1
3.469,2.538,0.243,0.015,0.008,0.041,0.044,159,80.55,7.39,92.61,233,40.37,37.75,0.36,0.28,0.32,1.56,7.2,9.15,38,29,40,22,35,54,1
3.187,2.8,0.65,0.09,0.04,0.43,0.02,232,87.26,80.45,41,276,37.2,38.42,0.36,0.32,0.34,1.56,7.25,9.4,34,35,38,22,35,55,0
3.357,2.459,0.367,0.01,0.009,0.592,0.051,232,87.26,80.45,19.55,276,37.2,38.42,0.36,0.32,0.34,1.56,7.25,9.4,34,35,38,22,35,55,1
3.357,2.459,0.367,0.01,0.009,0.592,0.051,232,87.26,80.45,19.55,276,37.2,38.42,0.36,0.32,0.34,1.56,7.25,9.4,34,35,38,22,35,55,1
3.357,2.459,0.367,0.01,0.009,0.592,0.051,232,87.26,80.45,19.55,276,37.2,38.42,0.36,0.32,0.34,1.56,7.25,9.4,34,35,38,22,35,55,1
3.357,2.459,0.367,0.01,0.009,0.592,0.051,232,87.26,80.45,19.55,276,37.2,38.42,0.36,0.32,0.34,1.56,7.25,9.4,34,35,38,22,35,55,1
3.887,2.856,0.325,0.012,0.004,0.762,0.041,200,80.26,63.36,36.64,300,40.37,37.75,0.36,0.28,0.32,1.52,7.35,9.25,39,31,48,22,38,51,0
3.597,2.587,0.4,0.013,0.008,0.312,0.041,200,80.7,63.36,36.64,300,40.37,37.75,0.36,0.28,0.32,1.52,7.35,9.25,39,31,48,22,38,51,0
3.597,2.587,0.4,0.013,0.008,0.312,0.041,200,80.7,63.36,36.64,300,40.37,37.75,0.36,0.28,0.32,1.52,7.35,9.25,39,31,48,22,38,51,1
3.597,2.587,0.4,0.013,0.008,0.312,0.041,200,80.7,63.36,36.64,300,40.37,37.75,0.36,0.28,0.32,1.52,7.35,9.25,39,31,48,22,38,51,1
3.597,2.587,0.4,0.013,0.008,0.312,0.041,200,80.7,63.36,36.64,300,40.37,37.75,0.36,0.28,0.32,1.52,7.35,9.25,39,31,48,22,38,51,1
3.597,2.587,0.4,0.013,0.008,0.312,0.041,200,80.7,63.36,36.64,300,40.37,37.75,0.36,0.28,0.32,1.52,7.35,9.25,39,31,48,22,38,51,1
3.123,2.871,0.345,0.004,0.013,0.725,0.044,200,84.59,60.08,39.92,292,40.37,37.75,0.36,0.28,0.32,1.52,7.35,9.25,39,31,48,21,38,51,0
3.463,2.37,0.391,0.013,0.008,0.296,0.044,200,84.59,60.08,39.92,292,40.37,37.75,0.36,0.28,0.32,1.52,7.35,9.25,39,31,48,21,38,51,0
3.463,2.37,0.391,0.013,0.008,0.296,0.044,200,84.59,60.08,39.92,292,40.37,37.75,0.36,0.28,0.32,1.52,7.35,9.25,39,31,48,21,38,51,1
3.463,2.37,0.391,0.013,0.008,0.296,0.044,200,84.59,60.08,39.92,292,40.37,37.75,0.36,0.28,0.32,1.52,7.35,9.25,39,31,48,21,38,51,1
3.463,2.37,0.391,0.013,0.008,0.296,0.044,200,84.59,60.08,39.92,292,40.37,37.75,0.36,0.28,0.32,1.52,7.35,9.25,39,31,48,21,38,51,1
3.463,2.37,0.391,0.013,0.008,0.296,0.044,200,84.59,60.08,39.92,292,40.37,37.75,0.36,0.28,0.32,1.52,7.35,9.25,39,31,48,21,38,51,1
3.12,2.8,0.41,0.003,0.034,0.69,0.029,191,84.8,38.98,45.24,319,37.2,38.42,0.36,0.32,0.32,1.64,7.4,9.34,37,32,33,21,35,55,0
3.388,2.578,0.316,0.013,0.008,0.299,0.045,191,84.8,54.76,45.24,319,37.2,38.42,0.36,0.32,0.32,1.64,7.4,9.34,37,32,33,21,35,55,1
3.388,2.578,0.316,0.013,0.008,0.299,0.045,191,84.8,54.76,45.24,319,37.2,38.42,0.36,0.32,0.32,1.64,7.4,9.34,37,32,33,21,35,55,1
